iter	Passed	Remaining
0	55	55940
1	56	28072
2	56	18776
3	56	14124
4	56	11331
5	57	9471
6	57	8142
7	57	7146
8	57	6369
9	58	5750
10	58	5243
11	58	4819
12	58	4460
13	58	4154
14	59	3889
15	59	3657
16	59	3452
17	59	3269
18	60	3106
19	60	2959
20	60	2826
21	60	2704
22	61	2594
23	61	2493
24	61	2401
25	61	2315
26	62	2237
27	62	2163
28	62	2093
29	62	2029
30	62	1968
31	63	1913
32	63	1860
33	63	1811
34	64	1764
35	64	1719
36	64	1678
37	64	1639
38	64	1600
39	65	1564
40	65	1529
41	65	1497
42	65	1466
43	66	1436
44	66	1408
45	66	1381
46	66	1355
47	67	1330
48	67	1306
49	67	1283
50	67	1261
51	68	1240
52	68	1219
53	68	1199
54	68	1181
55	68	1162
56	69	1144
57	69	1127
58	69	1110
59	69	1094
60	70	1079
61	70	1064
62	70	1050
63	70	1035
64	71	1022
65	71	1008
66	71	996
67	71	981
68	71	969
69	72	957
70	72	946
71	72	935
72	72	924
73	73	913
74	73	903
75	73	893
76	73	883
77	73	874
78	74	864
79	74	855
80	74	847
81	74	839
82	75	831
83	75	823
84	75	813
85	75	806
86	75	797
87	76	789
88	76	783
89	76	776
90	77	769
91	77	762
92	77	756
93	77	750
94	78	744
95	78	738
96	78	731
97	78	725
98	79	719
99	79	714
100	79	708
101	79	701
102	79	695
103	80	690
104	80	685
105	80	679
106	80	674
107	81	669
108	81	664
109	81	660
110	81	655
111	82	651
112	82	646
113	82	641
114	82	637
115	82	632
116	83	628
117	83	623
118	83	618
119	83	614
120	84	610
121	84	606
122	84	601
123	84	597
124	84	594
125	85	590
126	85	586
127	85	582
128	85	578
129	85	575
130	86	572
131	86	568
132	86	564
133	86	561
134	87	558
135	87	554
136	87	551
137	87	547
138	87	544
139	88	541
140	88	538
141	88	535
142	88	532
143	89	530
144	89	527
145	89	524
146	89	521
147	90	518
148	90	516
149	90	513
150	90	510
151	91	508
152	91	505
153	91	502
154	91	500
155	91	497
156	92	495
157	92	492
158	92	490
159	92	487
160	93	485
161	93	483
162	93	480
163	93	478
164	94	475
165	94	473
166	94	471
167	94	469
168	94	466
169	95	464
170	95	462
171	95	460
172	95	458
173	96	456
174	96	454
175	96	452
176	96	449
177	97	447
178	97	446
179	97	444
180	97	441
181	97	439
182	97	437
183	98	435
184	98	433
185	98	432
186	98	430
187	99	428
188	99	426
189	99	424
190	99	422
191	100	421
192	100	419
193	100	417
194	100	415
195	100	414
196	101	412
197	101	410
198	101	409
199	101	407
200	102	406
201	102	404
202	102	402
203	102	401
