iter	Passed	Remaining
0	64	64856
1	66	33125
2	70	23563
3	71	17925
4	72	14516
5	74	12292
6	74	10575
7	79	9891
8	80	8912
9	81	8064
10	81	7363
11	82	6773
12	82	6291
13	83	5873
14	83	5492
15	83	5160
16	84	4884
17	84	4632
18	85	4407
19	85	4207
20	86	4020
21	86	3854
22	87	3707
23	87	3569
24	88	3436
25	88	3314
26	88	3201
27	89	3093
28	89	3011
29	90	2919
30	92	2891
31	92	2806
32	93	2725
33	93	2650
34	93	2580
35	93	2514
36	94	2450
37	94	2390
38	94	2334
39	95	2283
40	95	2234
41	95	2185
42	96	2138
43	96	2096
44	96	2052
45	96	2011
46	97	1972
47	97	1934
48	97	1900
49	98	1868
50	98	1838
51	99	1808
52	99	1779
53	99	1750
54	100	1721
55	100	1694
56	101	1673
57	101	1647
58	102	1633
59	103	1615
60	103	1599
61	104	1584
62	105	1562
63	105	1543
64	106	1525
65	106	1504
66	106	1485
67	107	1467
68	107	1448
69	107	1429
70	107	1410
71	108	1392
72	108	1375
73	108	1358
74	108	1342
75	109	1325
76	109	1309
77	109	1294
78	109	1278
79	109	1263
80	110	1249
81	110	1235
82	110	1220
83	110	1207
84	110	1194
85	111	1182
86	111	1170
87	111	1158
88	112	1146
89	112	1135
90	112	1123
91	112	1112
92	112	1101
93	113	1091
94	113	1080
95	113	1070
96	113	1060
97	114	1050
98	114	1041
99	114	1032
100	114	1023
101	115	1014
102	115	1005
103	115	996
104	115	988
105	116	979
106	116	972
107	116	964
108	116	956
109	117	948
110	117	940
111	117	933
112	117	926
113	118	918
114	118	911
115	118	904
116	118	896
117	118	889
118	119	884
119	119	878
120	120	873
121	120	867
122	120	861
123	120	854
124	121	848
125	121	842
126	121	835
127	121	830
128	122	827
129	124	835
130	133	882
131	133	877
132	136	886
133	136	880
134	136	875
135	137	872
136	138	869
137	139	869
138	139	863
139	139	857
140	139	852
141	140	846
142	140	842
143	140	837
144	141	832
145	141	826
146	141	821
147	141	816
148	143	821
149	144	819
150	145	816
151	145	811
152	145	807
153	146	803
154	146	799
155	147	797
156	147	792
157	147	788
158	148	787
159	149	783
160	149	777
161	149	774
162	150	770
163	150	766
164	150	761
165	150	757
166	151	753
167	151	749
168	151	745
169	151	741
170	152	737
171	152	733
172	152	730
173	153	727
174	154	727
175	154	724
176	155	721
177	156	721
178	156	718
179	156	714
180	157	710
181	157	707
182	157	704
183	157	700
184	158	697
185	159	697
186	159	695
187	160	691
188	160	689
189	161	686
190	161	684
191	161	681
192	162	679
193	162	676
194	163	673
195	163	670
196	163	667
197	164	664
198	164	662
199	165	663
200	166	660
201	166	659
202	168	662
203	169	659
204	169	657
205	170	657
206	171	658
207	172	656
208	172	653
209	173	653
210	175	656
211	178	662
212	179	661
213	179	658
214	179	655
215	179	653
216	180	650
217	180	647
218	180	644
219	181	641
220	182	643
221	183	641
222	184	641
223	184	639
224	184	636
225	185	634
226	193	660
227	194	659
228	195	656
229	195	654
230	195	651
231	195	648
232	196	646
233	197	645
234	197	643
235	198	642
236	198	640
237	199	637
238	200	637
239	202	641
240	203	639
241	204	639
242	204	637
243	204	634
244	205	632
245	205	629
246	206	628
247	214	651
248	220	664
249	221	663
250	221	661
251	222	660
252	222	657
253	222	654
254	226	662
255	227	661
256	227	659
257	228	656
258	228	653
259	229	652
260	229	649
261	229	646
262	229	644
263	230	641
264	230	638
265	230	636
266	230	634
267	231	631
268	231	629
269	231	626
270	232	624
271	232	622
272	232	620
273	233	618
274	233	615
275	233	613
276	233	610
277	234	608
278	234	605
279	234	603
280	234	601
281	235	598
282	235	596
283	235	594
284	235	591
285	236	589
286	236	587
287	236	585
288	237	583
289	237	580
290	237	578
291	237	576
292	237	574
293	238	572
294	238	570
295	238	567
296	238	565
297	239	563
298	239	561
299	239	559
300	239	557
301	240	555
302	240	553
303	240	551
304	241	549
305	241	547
306	241	545
307	241	543
308	242	541
309	242	539
310	242	537
311	242	535
312	243	533
313	243	531
314	243	529
315	243	528
316	244	526
317	244	524
318	244	522
319	245	520
320	245	519
321	245	517
322	245	515
323	246	513
324	246	511
325	246	509
326	246	508
327	247	506
328	247	504
329	247	502
330	247	501
331	248	499
332	248	497
333	248	495
334	248	494
335	249	492
336	249	490
337	249	489
338	249	487
339	250	485
340	250	484
341	250	482
342	251	480
343	251	479
344	251	477
345	252	476
346	252	474
347	252	473
348	253	473
349	254	471
350	254	470
351	254	468
352	254	467
353	255	465
354	255	464
355	256	463
356	256	461
357	256	460
358	256	458
359	257	457
360	257	456
361	258	454
362	258	453
363	259	452
364	260	452
365	261	452
366	261	451
367	262	450
368	264	451
369	264	450
370	265	449
371	265	448
372	265	446
373	266	445
374	266	444
375	266	442
376	267	441
377	269	442
378	269	441
379	269	440
380	270	439
381	270	437
382	270	436
383	270	434
384	271	433
385	271	431
386	271	430
387	271	428
388	272	427
389	272	426
390	272	424
391	273	423
392	273	422
393	273	421
394	273	419
395	274	418
396	274	416
397	275	416
398	275	415
399	275	413
400	275	412
401	276	410
402	276	409
403	276	408
404	276	406
405	277	405
406	277	404
407	277	402
408	277	401
409	278	400
410	278	398
411	278	397
412	279	396
413	279	395
414	279	394
415	280	393
416	280	391
417	280	390
418	281	389
419	281	388
420	281	387
421	281	386
422	282	384
423	282	383
424	282	382
425	282	381
426	283	380
427	283	378
428	283	377
429	283	376
430	284	375
431	284	373
432	284	372
433	284	371
434	285	370
435	285	369
436	285	368
437	286	367
438	286	366
439	286	365
440	287	364
441	287	363
442	288	362
443	288	361
444	288	359
445	288	358
446	289	358
447	289	356
448	289	355
449	290	354
450	290	353
451	290	352
452	290	351
453	291	350
454	291	349
455	291	347
456	292	346
457	292	345
458	292	344
459	292	343
460	293	342
461	293	341
462	293	340
463	293	339
464	294	338
465	294	337
466	294	336
467	294	335
468	295	334
469	295	333
470	295	332
471	295	330
472	296	329
473	296	328
474	296	327
475	296	326
476	297	325
477	297	324
478	299	325
479	299	324
480	300	323
481	300	322
482	300	321
483	300	320
484	301	319
485	301	318
486	301	317
487	302	316
488	302	315
489	302	314
490	302	313
491	303	312
492	303	311
493	303	310
494	303	309
495	303	308
496	304	307
497	304	306
498	304	305
499	304	304
500	305	304
501	305	303
502	305	302
503	305	301
504	306	300
505	306	299
506	306	298
507	306	297
508	307	296
509	307	295
510	307	294
511	307	293
512	308	292
513	308	291
514	308	290
515	308	289
516	309	288
517	309	287
518	309	286
519	309	285
520	310	285
521	310	284
522	310	283
523	310	282
524	311	281
525	311	280
526	311	279
527	311	278
528	312	277
529	312	276
530	312	276
531	312	275
532	313	274
533	313	273
534	313	272
535	314	271
536	314	271
537	315	270
538	315	269
539	315	268
540	315	268
541	316	267
542	316	266
543	316	265
544	316	264
545	317	263
546	317	262
547	317	261
548	317	261
549	318	260
550	318	259
551	318	258
552	318	257
553	318	256
554	319	255
555	319	254
556	319	254
557	319	253
558	319	252
559	320	251
560	320	250
561	320	249
562	320	249
563	321	248
564	321	247
565	321	246
566	321	245
567	321	244
568	322	244
569	322	243
570	323	242
571	323	241
572	323	241
573	324	240
574	324	239
575	324	238
576	324	238
577	325	237
578	325	236
579	325	235
580	325	235
581	326	234
582	326	233
583	326	232
584	326	231
585	327	231
586	327	230
587	327	229
588	327	228
589	328	227
590	328	227
591	328	226
592	328	225
593	328	224
594	329	224
595	329	223
596	330	222
597	330	222
598	331	222
599	331	221
600	332	220
601	332	219
602	332	219
603	332	218
604	333	217
605	333	216
606	333	216
607	334	215
608	334	214
609	334	213
610	335	213
611	335	212
612	335	211
613	335	211
614	336	210
615	336	209
616	336	209
617	337	208
618	337	207
619	337	206
620	337	206
621	338	205
622	338	204
623	338	204
624	338	203
625	339	202
626	339	202
627	340	201
628	340	200
629	340	200
630	340	199
631	341	198
632	341	197
633	341	197
634	341	196
635	342	195
636	342	195
637	342	194
638	342	193
639	343	192
640	343	192
